,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
72,Ryan,Christie,0,1,28,962,23,205.0,147.2,173.0,0,112,52.7,2,0,0,0.1,50,MID
73,Lewis,Cook,0,0,14,704,16,119.2,114.4,18.0,0,103,25.2,2,1,1,0.0,50,MID
74,Siriki,Dembélé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
75,Ryan,Fredericks,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
76,James,Hill,0,0,1,15,0,1.8,0.0,0.0,0,1,0.2,0,0,0,0.1,40,DEF
77,Lloyd,Kelly,0,0,20,681,14,68.5,119.6,8.0,3,137,19.5,2,0,1,0.1,45,DEF
78,Gavin,Kilkenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
79,Justin,Kluivert,1,0,23,471,8,76.8,73.8,125.0,2,57,27.7,2,0,0,0.2,46,MID
80,Jamal,Lowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
81,Emiliano,Marcondes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,MID
82,Chris,Mepham,0,0,3,168,5,12.2,34.2,21.0,0,22,6.8,0,0,1,0.1,43,DEF
83,Kieffer,Moore,0,0,5,83,1,17.2,3.0,45.0,0,10,6.3,0,0,0,0.2,47,FWD
84,Norberto,Murara Neto,0,0,41,990,21,0.0,354.6,0.0,7,218,35.6,2,0,3,1.3,45,GK
85,Dango,Ouattara,0,0,8,221,5,55.2,38.4,82.0,0,27,17.7,1,0,1,0.0,47,MID
86,Ben,Pearson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
87,Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,GK
88,Joe,Rothwell,0,0,11,358,11,61.8,41.6,5.0,0,48,10.9,0,0,0,0.0,48,MID
89,Antoine,Semenyo,2,2,32,486,11,73.0,123.6,173.0,4,95,36.8,2,0,1,3.2,46,FWD
90,Marcos,Senesi,0,1,16,665,18,49.1,166.2,2.0,0,116,21.9,1,0,2,0.1,43,DEF
91,Adam,Smith,0,1,9,209,5,46.7,48.4,2.0,0,42,9.7,0,0,0,0.0,44,DEF
92,Dominic,Solanke,6,1,58,1158,26,165.7,278.2,445.0,6,163,89.0,2,0,1,5.7,65,FWD
93,Marcus,Tavernier,2,1,37,698,15,165.2,198.0,198.0,3,132,56.2,3,0,0,0.1,54,MID
94,Hamed,Traorè,0,0,3,44,1,14.8,12.8,30.0,0,10,5.7,0,0,0,0.0,47,MID
95,Mark,Travers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
96,Illia,Zabarnyi,0,0,21,1170,28,10.5,232.6,18.0,0,199,26.0,2,0,2,0.1,44,DEF
97,Milos,Kerkez,0,0,14,898,25,86.1,131.0,24.0,0,91,24.1,1,0,1,0.2,44,DEF
98,Ionuț,Radu,0,0,2,180,7,0.0,33.0,0.0,0,31,3.3,0,0,0,0.1,44,GK
99,Ben,Greenwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
100,Max,Aarons,0,1,23,949,24,95.0,149.4,20.0,0,161,26.5,2,0,1,0.2,45,DEF
101,Alex,Scott,0,0,3,189,5,17.8,16.4,10.0,0,21,4.3,0,0,1,0.0,49,MID
102,Tyler,Adams,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
