,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
613,Orel,Mangala,1,1,50,1543,24,61.6,191.4,75.0,0,190,32.8,5,0,3,0.0,49,MID
614,Oliver,Hammond,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42,MID
615,Remo,Freuler,0,0,54,2157,47,174.7,272.2,54.0,0,267,50.3,6,0,4,0.0,49,MID
616,Cheikhou,Kouyaté,1,0,35,871,23,82.8,158.8,81.0,2,144,32.2,2,0,3,0.1,44,MID
617,Emmanuel,Dennis,2,2,39,709,17,96.8,166.4,286.0,3,113,54.6,1,0,3,0.1,56,FWD
618,Renan Augusto,Lodi dos Santos,0,2,56,2211,48,208.2,319.0,97.0,3,363,62.5,5,0,7,0.2,43,DEF
619,Loïc,Badé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
620,Serge,Aurier,1,0,70,1943,31,164.1,431.0,112.0,8,336,70.9,6,0,2,0.3,43,DEF
621,Dale,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
622,Jordan,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
623,Gustavo Henrique,Furtado Scarpa,0,0,5,177,1,17.3,15.0,25.0,0,16,5.7,0,0,1,0.0,46,MID
624,Danilo,dos Santos de Oliveira,3,2,48,976,18,108.1,253.8,113.0,5,178,47.1,1,0,1,0.2,45,MID
625,Keylor,Navas,0,0,43,1530,32,0.0,387.6,0.0,5,273,38.7,2,0,2,0.8,45,GK
626,Felipe Augusto,de Almeida Monteiro,0,1,25,1417,32,79.5,379.0,130.0,3,233,59.0,1,0,4,0.1,45,DEF
627,André,Ayew,0,0,11,306,10,17.1,34.0,53.0,0,27,10.5,0,0,1,0.0,50,MID
628,George,Shelvey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
629,Ainsley,Maitland-Niles,0,1,38,1400,31,159.2,280.2,23.0,0,202,46.0,3,0,3,0.0,48,MID
630,Roméo,Lavia,1,1,57,2219,50,247.1,344.8,46.0,0,317,64.2,4,0,9,0.2,45,MID
631,Theo,Walcott,2,2,49,1123,30,159.1,164.6,199.0,1,140,52.1,2,0,1,0.0,48,MID
632,Alex,McCarthy,0,0,8,540,17,0.0,84.2,0.0,0,83,8.4,0,0,0,0.1,43,GK
633,Oriol,Romeu Vidal,0,0,2,74,4,3.8,6.2,2.0,0,9,1.2,0,0,0,0.0,48,MID
634,Nathan,Redmond,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,53,MID
635,Stuart,Armstrong,2,2,57,1391,34,282.8,234.2,267.0,2,221,78.6,1,0,6,0.1,47,MID
636,Mohamed,Elyounoussi,1,1,62,2162,45,297.2,285.0,388.0,0,218,96.8,2,0,4,0.1,51,MID
637,James,Ward-Prowse,9,4,142,3371,72,1162.9,880.4,319.0,18,747,236.3,4,0,6,4.9,61,MID
638,Adam,Armstrong,2,1,54,1321,24,148.8,142.0,275.0,3,161,55.6,1,0,2,0.7,53,FWD
639,Kyle,Walker-Peters,1,0,56,2650,58,277.9,403.4,198.0,2,335,87.9,3,0,4,0.6,44,DEF
640,Jan,Bednarek,0,0,32,1770,40,38.4,415.0,43.0,2,321,49.7,3,0,5,0.2,41,DEF
641,Che,Adams,5,5,94,1987,41,336.4,340.4,583.0,9,262,124.6,4,0,1,0.8,60,FWD
642,Nathan,Tella,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID
